@RELATION wfshell

@ATTRIBUTE crashtime  DATE "yyyy-MM-dd HH:mm:ss"
@ATTRIBUTE crashcount   NUMERIC

@DATA
"2023-11-14 22:07:00","1"
"2023-11-14 23:07:00","1"
"2023-11-15 00:07:00","1"
"2023-11-15 01:07:00","1"
"2023-11-15 02:07:00","1"
"2023-11-15 03:07:00","1"
"2023-11-15 04:07:00","1"
"2023-11-15 05:07:00","1"
"2023-11-15 06:07:00","1"
"2023-11-15 07:07:00","1"
"2023-11-15 08:07:00","1"
"2023-11-15 09:07:00","1"
"2023-11-15 10:07:00","1"
"2023-11-15 11:07:00","1"
"2023-11-15 12:07:00","1"
"2023-11-15 13:07:00","1"
"2023-11-15 14:07:00","1"
"2023-11-15 15:07:00","1"
"2023-11-15 16:07:00","1"
"2023-11-15 17:07:00","1"
"2023-11-15 18:07:00","1"
"2023-11-15 19:07:00","64"
"2023-11-15 20:07:00","5"
"2023-11-15 21:07:00","6"
"2023-11-15 22:07:00","1"
"2023-11-15 23:07:00","1"
"2023-11-16 00:07:00","1"
"2023-11-16 01:07:00","1"
"2023-11-16 02:07:00","1"
"2023-11-16 03:07:00","1"
"2023-11-16 04:07:00","1"
"2023-11-16 05:07:00","1"
"2023-11-16 06:07:00","1"
"2023-11-16 07:07:00","1"
"2023-11-16 08:07:00","1"
"2023-11-16 09:07:00","1"
"2023-11-16 10:07:00","1"
"2023-11-16 11:07:00","1"
"2023-11-16 12:07:00","1"
"2023-11-16 13:07:00","1"
"2023-11-16 14:07:00","1"
"2023-11-16 15:07:00","1"
"2023-11-16 16:07:00","1"
"2023-11-16 17:07:00","1"
"2023-11-16 18:07:00","1"
"2023-11-16 19:07:00","28"
"2023-11-16 20:07:00","1"
"2023-11-16 21:07:00","1"
"2023-11-16 22:07:00","1"
"2023-11-16 23:07:00","1"
"2023-11-17 00:07:00","1"
"2023-11-17 01:07:00","1"
"2023-11-17 02:07:00","1"
"2023-11-17 03:07:00","1"
"2023-11-17 04:07:00","1"
"2023-11-17 05:07:00","1"
"2023-11-17 06:07:00","1"
"2023-11-17 07:07:00","1"
"2023-11-17 08:07:00","1"
"2023-11-17 09:07:00","1"
"2023-11-17 10:07:00","1"
"2023-11-17 11:07:00","1"
"2023-11-17 12:07:00","1"
"2023-11-17 13:07:00","1"
"2023-11-17 14:07:00","1"
"2023-11-17 15:07:00","1"
"2023-11-17 16:07:00","1"
"2023-11-17 17:07:00","1"
"2023-11-17 18:07:00","1"
"2023-11-17 19:07:00","1"
"2023-11-17 20:07:00","1"
"2023-11-17 21:07:00","1"
"2023-11-17 22:07:00","1"
"2023-11-17 23:07:00","1"
"2023-11-18 00:07:00","1"
"2023-11-18 01:07:00","1"
"2023-11-18 02:07:00","1"
"2023-11-18 03:07:00","1"
"2023-11-18 04:07:00","1"
"2023-11-18 05:07:00","1"
"2023-11-18 06:07:00","1"
"2023-11-18 07:07:00","1"
"2023-11-18 08:07:00","1"
"2023-11-18 09:07:00","1"
"2023-11-18 10:07:00","1"
"2023-11-18 11:07:00","1"
"2023-11-18 12:07:00","1"
"2023-11-18 13:07:00","1"
"2023-11-18 14:07:00","1"
"2023-11-18 15:07:00","1"
"2023-11-18 16:07:00","1"
"2023-11-18 17:07:00","1"
"2023-11-18 18:07:00","1"
"2023-11-18 19:07:00","1"
"2023-11-18 20:07:00","1"
"2023-11-18 21:07:00","1"
"2023-11-18 22:07:00","1"
"2023-11-18 23:07:00","1"
"2023-11-19 00:07:00","1"
"2023-11-19 01:07:00","1"
"2023-11-19 02:07:00","1"
"2023-11-19 03:07:00","1"
"2023-11-19 04:07:00","1"
"2023-11-19 05:07:00","1"
"2023-11-19 06:07:00","1"
"2023-11-19 07:07:00","1"
"2023-11-19 08:07:00","1"
"2023-11-19 09:07:00","1"
"2023-11-19 10:07:00","1"
"2023-11-19 11:07:00","1"
"2023-11-19 12:07:00","1"
"2023-11-19 13:07:00","1"
"2023-11-19 14:07:00","1"
"2023-11-19 15:07:00","1"
"2023-11-19 16:07:00","1"
"2023-11-19 17:07:00","1"
"2023-11-19 18:07:00","1"
"2023-11-19 19:07:00","24"
"2023-11-19 20:07:00","4"
"2023-11-19 21:07:00","2"
"2023-11-19 22:07:00","1"
"2023-11-19 23:07:00","1"
"2023-11-20 00:07:00","1"
"2023-11-20 01:07:00","1"
"2023-11-20 02:07:00","1"
"2023-11-20 03:07:00","1"
"2023-11-20 04:07:00","1"
